iter	Passed	Remaining
0	59	17903
1	63	9524
2	68	6754
3	72	5354
4	76	4507
5	79	3905
6	83	3476
7	86	3151
8	89	2896
9	92	2696
10	96	2531
11	99	2395
12	103	2279
13	106	2172
14	109	2084
15	112	2004
16	116	1934
17	119	1867
18	122	1809
19	125	1755
20	128	1713
21	132	1671
22	135	1630
23	138	1593
24	141	1561
25	144	1526
26	148	1496
27	151	1472
28	154	1444
29	157	1421
30	161	1399
31	164	1377
32	167	1357
33	170	1337
34	174	1320
35	177	1303
36	181	1286
37	184	1270
38	187	1254
39	190	1240
40	193	1224
41	197	1212
42	200	1199
43	203	1185
44	207	1173
45	210	1161
46	213	1149
47	217	1139
48	220	1129
49	223	1119
50	227	1109
51	230	1098
52	233	1087
53	236	1079
54	240	1069
55	243	1061
56	247	1054
57	250	1044
58	254	1038
59	257	1028
60	260	1019
61	263	1011
62	266	1004
63	270	997
64	273	988
65	276	981
66	280	973
67	283	967
68	286	960
69	290	955
70	304	983
71	308	977
72	312	972
73	317	968
74	321	965
75	325	959
76	330	956
77	334	951
78	338	946
79	342	941
80	346	936
81	350	932
82	355	928
83	361	928
84	365	925
85	369	920
86	374	916
87	378	911
88	381	905
89	385	900
90	389	895
91	394	890
92	397	885
93	402	881
94	406	876
95	410	871
96	414	867
97	418	862
98	423	859
99	428	856
100	432	852
101	436	847
102	440	843
103	444	838
104	448	833
105	452	828
106	456	822
107	459	817
108	463	812
109	467	808
110	471	802
111	475	798
112	479	792
113	483	788
114	487	783
115	490	778
116	494	773
117	508	783
118	512	779
119	516	774
120	520	770
121	527	768
122	531	764
123	534	758
124	538	753
125	542	749
126	546	744
127	550	739
128	554	734
129	558	730
130	562	725
131	566	720
132	570	716
133	573	710
134	577	705
135	580	700
136	583	694
137	587	689
138	591	685
139	595	680
140	599	676
141	603	671
142	607	666
143	611	662
144	615	657
145	618	652
146	622	648
147	626	643
148	630	639
149	633	633
150	637	628
151	640	623
152	643	618
153	646	613
154	649	607
155	653	602
156	656	597
157	659	592
158	662	587
159	665	582
160	668	577
161	671	572
162	675	567
163	678	562
164	681	557
165	684	552
166	687	547
167	691	542
168	694	538
169	697	533
170	700	528
171	704	524
172	707	519
173	710	514
174	713	509
175	717	505
176	720	500
177	723	495
178	726	491
179	730	486
180	733	482
181	736	477
182	740	473
183	743	468
184	747	464
185	750	459
186	753	455
187	756	450
188	759	446
189	763	441
190	766	437
191	770	433
192	773	428
193	776	424
194	780	420
195	783	415
196	786	411
197	790	407
198	793	402
199	796	398
200	800	394
201	803	389
202	806	385
203	809	381
204	813	376
205	816	372
206	819	368
207	823	364
208	826	359
209	829	355
210	832	351
211	836	347
212	839	342
213	842	338
214	846	334
215	849	330
216	852	326
217	855	321
218	858	317
219	862	313
220	865	309
221	868	305
222	872	301
223	875	297
224	879	293
225	882	289
226	885	284
227	889	280
228	892	276
229	895	272
230	899	268
231	902	264
232	906	260
233	909	256
234	912	252
235	916	248
236	919	244
237	923	240
238	926	236
239	929	232
240	933	228
241	936	224
242	939	220
243	943	216
244	946	212
245	950	208
246	953	204
247	957	200
248	960	196
249	964	192
250	967	188
251	970	184
252	974	180
253	977	177
254	981	173
255	984	169
256	987	165
257	991	161
258	994	157
259	998	153
260	1002	149
261	1005	145
262	1008	141
263	1012	138
264	1015	134
265	1019	130
266	1022	126
267	1025	122
268	1028	118
269	1032	114
270	1035	110
271	1038	106
272	1041	103
273	1045	99
274	1048	95
275	1051	91
276	1055	87
277	1058	83
278	1061	79
279	1064	76
280	1067	72
281	1071	68
282	1074	64
283	1078	60
284	1081	56
285	1084	53
286	1088	49
287	1091	45
288	1094	41
289	1098	37
290	1101	34
291	1104	30
292	1108	26
293	1111	22
294	1114	18
295	1117	15
296	1120	11
297	1124	7
298	1127	3
299	1130	0
